id,question,ranks,user
6pot0uu7anv8cqv,fipe1arpisjzor5,"[{""proposalId"": ""xwnr10w9hva55qy"", ""rank"": 1}, {""proposalId"": ""uce5yuhwjhn9osm"", ""rank"": 2}, {""proposalId"": ""txzw6b8rlgu20pc"", ""rank"": 3}, {""proposalId"": ""tab6wja68t8mppz"", ""rank"": 4}]",bc56f126724fbb5b
vfznfzr7xlo1ssg,kppusrz7tvrdl1u,"[{""proposalId"": ""t1afdsktvoxdnfb"", ""rank"": 1}, {""proposalId"": ""iy38izhecpibmie"", ""rank"": 2}, {""proposalId"": ""ag5sv0ccn95l28j"", ""rank"": 3}, {""proposalId"": ""9831fmu4i76891c"", ""rank"": 4}, {""proposalId"": ""5wd9w4rfepuhrfj"", ""rank"": 5}]",bc56f126724fbb5b
6i2d12qlfme72ro,fipe1arpisjzor5,"[{""proposalId"": ""uce5yuhwjhn9osm"", ""rank"": 1}, {""proposalId"": ""xwnr10w9hva55qy"", ""rank"": 2}, {""proposalId"": ""txzw6b8rlgu20pc"", ""rank"": 3}, {""proposalId"": ""tab6wja68t8mppz"", ""rank"": 4}]",2ca359773483ca75
ov68kbye9qznr0y,kppusrz7tvrdl1u,"[{""proposalId"": ""iy38izhecpibmie"", ""rank"": 1}, {""proposalId"": ""t1afdsktvoxdnfb"", ""rank"": 2}, {""proposalId"": ""ag5sv0ccn95l28j"", ""rank"": 3}, {""proposalId"": ""9831fmu4i76891c"", ""rank"": 4}, {""proposalId"": ""5wd9w4rfepuhrfj"", ""rank"": 5}]",2ca359773483ca75
mxb4vquarq12yl5,0kueh5y5qyvwbsw,"[{""proposalId"": ""g4okbm833u2s7p3"", ""rank"": 1}, {""proposalId"": ""oufg6lngsdal44q"", ""rank"": 2}, {""proposalId"": ""r3u9fuuk5jkap90"", ""rank"": 3}, {""proposalId"": ""b9r2nj74wa5tpux"", ""rank"": 4}]",2ca359773483ca75
maew2qpdylu6w2k,0kueh5y5qyvwbsw,"[{""proposalId"": ""g4okbm833u2s7p3"", ""rank"": 1}, {""proposalId"": ""r3u9fuuk5jkap90"", ""rank"": 2}, {""proposalId"": ""oufg6lngsdal44q"", ""rank"": 3}, {""proposalId"": ""b9r2nj74wa5tpux"", ""rank"": 4}]",bc56f126724fbb5b
i4mqffzizhelh5i,fipe1arpisjzor5,"[{""proposalId"": ""uce5yuhwjhn9osm"", ""rank"": 1}, {""proposalId"": ""xwnr10w9hva55qy"", ""rank"": 2}, {""proposalId"": ""txzw6b8rlgu20pc"", ""rank"": 3}, {""proposalId"": ""tab6wja68t8mppz"", ""rank"": 4}]",8e4a80df3812470f
ab82dozz6z1zih8,kppusrz7tvrdl1u,"[{""proposalId"": ""5wd9w4rfepuhrfj"", ""rank"": 1}, {""proposalId"": ""iy38izhecpibmie"", ""rank"": 2}, {""proposalId"": ""ag5sv0ccn95l28j"", ""rank"": 3}, {""proposalId"": ""9831fmu4i76891c"", ""rank"": 4}, {""proposalId"": ""t1afdsktvoxdnfb"", ""rank"": 5}]",8e4a80df3812470f
tm9uuw2osfutpgl,0kueh5y5qyvwbsw,"[{""proposalId"": ""g4okbm833u2s7p3"", ""rank"": 1}, {""proposalId"": ""r3u9fuuk5jkap90"", ""rank"": 2}, {""proposalId"": ""oufg6lngsdal44q"", ""rank"": 3}, {""proposalId"": ""b9r2nj74wa5tpux"", ""rank"": 4}]",8e4a80df3812470f
iro9s4s0p7i8dwt,fipe1arpisjzor5,"[{""proposalId"": ""xwnr10w9hva55qy"", ""rank"": 1}, {""proposalId"": ""tab6wja68t8mppz"", ""rank"": 2}, {""proposalId"": ""txzw6b8rlgu20pc"", ""rank"": 3}, {""proposalId"": ""uce5yuhwjhn9osm"", ""rank"": 4}]",4c86ed884e17d0af
s8rzvrclsn9pp43,kppusrz7tvrdl1u,"[{""proposalId"": ""5wd9w4rfepuhrfj"", ""rank"": 1}, {""proposalId"": ""ag5sv0ccn95l28j"", ""rank"": 2}, {""proposalId"": ""9831fmu4i76891c"", ""rank"": 3}, {""proposalId"": ""t1afdsktvoxdnfb"", ""rank"": 4}, {""proposalId"": ""iy38izhecpibmie"", ""rank"": 5}]",4c86ed884e17d0af
2hy6xtillq3a07s,0kueh5y5qyvwbsw,"[{""proposalId"": ""oufg6lngsdal44q"", ""rank"": 1}, {""proposalId"": ""r3u9fuuk5jkap90"", ""rank"": 2}, {""proposalId"": ""g4okbm833u2s7p3"", ""rank"": 3}, {""proposalId"": ""b9r2nj74wa5tpux"", ""rank"": 4}]",4c86ed884e17d0af
t6gb7rjxjxierua,fipe1arpisjzor5,"[{""proposalId"": ""tab6wja68t8mppz"", ""rank"": 1}, {""proposalId"": ""uce5yuhwjhn9osm"", ""rank"": 2}, {""proposalId"": ""xwnr10w9hva55qy"", ""rank"": 3}, {""proposalId"": ""txzw6b8rlgu20pc"", ""rank"": 4}]",de13859e1d6aea12
2hvyokbf246n44h,0kueh5y5qyvwbsw,"[{""proposalId"": ""r3u9fuuk5jkap90"", ""rank"": 1}, {""proposalId"": ""g4okbm833u2s7p3"", ""rank"": 2}, {""proposalId"": ""oufg6lngsdal44q"", ""rank"": 3}, {""proposalId"": ""b9r2nj74wa5tpux"", ""rank"": 4}]",de13859e1d6aea12
rxcibzb67jmzvx4,kppusrz7tvrdl1u,"[{""proposalId"": ""t1afdsktvoxdnfb"", ""rank"": 1}, {""proposalId"": ""ag5sv0ccn95l28j"", ""rank"": 2}, {""proposalId"": ""9831fmu4i76891c"", ""rank"": 3}, {""proposalId"": ""5wd9w4rfepuhrfj"", ""rank"": 4}, {""proposalId"": ""iy38izhecpibmie"", ""rank"": 5}]",de13859e1d6aea12
