id,created,occurred_at,proposal,question,updated,user,vote
54xcp38866c3opt,2026-07-06 12:47:59.933Z,,18ln9fuzhusm5jx,kppusrz7tvrdl1u,2026-07-06 12:55:28.626Z,bc56f126724fbb5b,0
wzdtgty25wh9mdz,2026-07-06 12:48:38.430Z,,5wh4mpsd8yz0n8g,kppusrz7tvrdl1u,2026-07-06 12:51:44.411Z,4c86ed884e17d0af,0
jajxznk3jrchbl1,2026-07-06 12:50:09.782Z,,gx253xbn4mcfyzu,kppusrz7tvrdl1u,2026-07-06 12:57:54.796Z,8e4a80df3812470f,0
mfpat5b1tzrclmb,2026-07-06 12:51:44.419Z,,9831fmu4i76891c,kppusrz7tvrdl1u,2026-07-06 12:51:44.419Z,4c86ed884e17d0af,1
3bwvw45lw2nuiof,2026-07-06 12:53:50.789Z,,18ln9fuzhusm5jx,kppusrz7tvrdl1u,2026-07-06 12:53:50.789Z,8e4a80df3812470f,1
vo5sf6lbqdqd1uu,2026-07-06 12:54:11.918Z,,gx253xbn4mcfyzu,kppusrz7tvrdl1u,2026-07-06 13:00:22.461Z,de13859e1d6aea12,0
9cvrfyu489vy8mh,2026-07-06 12:54:16.077Z,,t1afdsktvoxdnfb,kppusrz7tvrdl1u,2026-07-06 12:54:16.077Z,5e73badbe38abb33,1
y4sfba1p002zvfs,2026-07-06 12:54:17.862Z,,18ln9fuzhusm5jx,kppusrz7tvrdl1u,2026-07-06 12:54:19.297Z,5e73badbe38abb33,0
kexi6g1c8s0j333,2026-07-06 12:54:25.504Z,,r1b7ompt9b76grh,fipe1arpisjzor5,2026-07-06 13:12:24.861Z,bc56f126724fbb5b,0
8t97pevf6h835rr,2026-07-06 12:55:05.258Z,,cnla3q3vkdwsvs8,kppusrz7tvrdl1u,2026-07-13 07:56:04.133Z,bc56f126724fbb5b,0
d1lxd00cx0e441n,2026-07-06 12:55:29.212Z,,gx253xbn4mcfyzu,kppusrz7tvrdl1u,2026-07-08 06:50:10.981Z,bc56f126724fbb5b,0
tpalwygxoez1u41,2026-07-06 12:57:02.276Z,,uce5yuhwjhn9osm,fipe1arpisjzor5,2026-07-13 13:26:38.451Z,de13859e1d6aea12,1
284sw7ccl4nyev3,2026-07-06 12:57:32.822Z,,r1b7ompt9b76grh,fipe1arpisjzor5,2026-07-06 12:57:32.822Z,5e73badbe38abb33,1
fk30ujf8drnnfp4,2026-07-06 12:57:54.804Z,,5wd9w4rfepuhrfj,kppusrz7tvrdl1u,2026-07-06 12:57:54.804Z,8e4a80df3812470f,1
utnzbxq9ucif0u3,2026-07-06 12:59:51.753Z,,xwnr10w9hva55qy,fipe1arpisjzor5,2026-07-06 12:59:51.753Z,8e4a80df3812470f,1
wcwmbjxb9ab678r,2026-07-06 13:00:05.112Z,,agm69t6yeu7yw5u,fipe1arpisjzor5,2026-07-13 07:55:02.341Z,bc56f126724fbb5b,0
w2igm82ptg3yntp,2026-07-06 13:00:20.077Z,,5wd9w4rfepuhrfj,kppusrz7tvrdl1u,2026-07-08 11:30:59.676Z,de13859e1d6aea12,0
ohxst4cc534fwxk,2026-07-06 13:00:34.949Z,,t1afdsktvoxdnfb,kppusrz7tvrdl1u,2026-07-06 13:00:36.115Z,4c86ed884e17d0af,0
ar0o7pw3om2izht,2026-07-06 13:06:31.225Z,,ag5sv0ccn95l28j,kppusrz7tvrdl1u,2026-07-06 13:06:31.225Z,bc56f126724fbb5b,1
xbiuv3f1d6vh4mw,2026-07-06 13:10:59.347Z,,xwnr10w9hva55qy,fipe1arpisjzor5,2026-07-06 13:10:59.347Z,5e73badbe38abb33,1
fg5tjy4hd6r5nwq,2026-07-06 13:10:59.957Z,,uce5yuhwjhn9osm,fipe1arpisjzor5,2026-07-06 13:10:59.957Z,5e73badbe38abb33,1
rwqfbp4nhpu4kih,2026-07-06 13:14:13.318Z,,txzw6b8rlgu20pc,fipe1arpisjzor5,2026-07-06 13:14:13.317Z,bc56f126724fbb5b,1
x2hda97rfcr88ca,2026-07-08 06:49:06.054Z,,5wh4mpsd8yz0n8g,kppusrz7tvrdl1u,2026-07-08 06:49:06.054Z,bc56f126724fbb5b,1
wrgkymlkfdhfzlk,2026-07-08 06:50:10.990Z,,5wd9w4rfepuhrfj,kppusrz7tvrdl1u,2026-07-08 06:50:10.990Z,bc56f126724fbb5b,1
ycego590ypty5ne,2026-07-08 08:53:56.969Z,,yfd2x34mjh39c2h,0kueh5y5qyvwbsw,2026-07-08 08:53:56.969Z,8e4a80df3812470f,1
qpaoq4lfx1xux5a,2026-07-09 11:09:27.462Z,,g4okbm833u2s7p3,0kueh5y5qyvwbsw,2026-07-09 11:09:27.462Z,2ca359773483ca75,1
aubflxsokr22l12,2026-07-09 11:12:29.491Z,,b9r2nj74wa5tpux,0kueh5y5qyvwbsw,2026-07-09 11:12:37.872Z,2ca359773483ca75,0
53zwkl2arav9m1z,2026-07-09 11:12:40.616Z,,spffen97k7ns0ku,0kueh5y5qyvwbsw,2026-07-09 11:12:40.616Z,2ca359773483ca75,1
rg1v5spafumki4t,2026-07-09 11:13:23.216Z,,5wd9w4rfepuhrfj,kppusrz7tvrdl1u,2026-07-09 11:13:23.216Z,2ca359773483ca75,1
972xgtevfi2r9e9,2026-07-09 11:49:33.524Z,,b9r2nj74wa5tpux,0kueh5y5qyvwbsw,2026-07-09 11:49:33.524Z,bc56f126724fbb5b,1
9kpa8u0jjt6cx6g,2026-07-09 11:50:20.629Z,,oufg6lngsdal44q,0kueh5y5qyvwbsw,2026-07-09 11:50:20.629Z,bc56f126724fbb5b,1
uzy1ae7sie81td8,2026-07-09 13:35:17.039Z,,ky8ujsvwtkj6zix,fipe1arpisjzor5,2026-07-11 09:57:14.639Z,de13859e1d6aea12,0
9sv7j6su5tlt8zd,2026-07-10 11:25:18.754Z,,ky8ujsvwtkj6zix,fipe1arpisjzor5,2026-07-10 11:25:18.754Z,2ca359773483ca75,1
83ruockp0lu6lna,2026-07-10 11:28:07.039Z,,agm69t6yeu7yw5u,fipe1arpisjzor5,2026-07-10 11:28:08.205Z,2ca359773483ca75,0
mhetkbjwg1t4mrt,2026-07-10 11:32:45.943Z,,r3u9fuuk5jkap90,0kueh5y5qyvwbsw,2026-07-10 11:32:45.943Z,2ca359773483ca75,1
s5flskmlyju5k9l,2026-07-11 09:57:14.652Z,,tab6wja68t8mppz,fipe1arpisjzor5,2026-07-11 09:57:14.652Z,de13859e1d6aea12,1
s76f5wkut8dn0x0,2026-07-13 07:55:09.006Z,,uce5yuhwjhn9osm,fipe1arpisjzor5,2026-07-13 07:55:09.006Z,bc56f126724fbb5b,1
cf8s9uiq69sg33p,2026-07-13 07:56:14.235Z,,iy38izhecpibmie,kppusrz7tvrdl1u,2026-07-13 07:56:14.235Z,bc56f126724fbb5b,1
rpdljr4wzdge90m,2026-07-13 12:53:29.019Z,,uce5yuhwjhn9osm,fipe1arpisjzor5,2026-07-13 12:53:29.019Z,2ca359773483ca75,1
liyhpa43fu9jc0y,2026-07-13 12:53:36.275Z,,tab6wja68t8mppz,fipe1arpisjzor5,2026-07-13 12:53:36.275Z,2ca359773483ca75,1
iciud0bo11dd25e,2026-07-13 12:53:54.565Z,,ag5sv0ccn95l28j,kppusrz7tvrdl1u,2026-07-13 12:53:54.565Z,2ca359773483ca75,1
zfrsi9f6lhtqn6m,2026-07-13 13:26:28.669Z,,xwnr10w9hva55qy,fipe1arpisjzor5,2026-07-13 13:26:41.657Z,de13859e1d6aea12,0
dudiuxhz9vz6s7t,2026-07-13 13:27:09.871Z,,ky8ujsvwtkj6zix,fipe1arpisjzor5,2026-07-13 13:27:09.871Z,0975d6bbf2b53d26,1
