id,author,branch_depth,content,created,current_vote_count,in_focus,is_champion,labels,opposition_count,parent_proposals,primary_label,question,reason_for_change,root_proposal,state,subscription_count,support_count,title,unique_viewer_count,updated
r1b7ompt9b76grh,4c86ed884e17d0af,0,<p>Depending on a car for daily chores should not be needed or cheaper than public transit.</p>,2026-07-06 12:41:51.488Z,1,False,False,[],0,[],,fipe1arpisjzor5,,r1b7ompt9b76grh,Inactive,1,1,Making transit cheaper and more accessible,5,2026-07-23 16:45:30.378Z
18ln9fuzhusm5jx,4c86ed884e17d0af,0,<p>What we like the most is just mingling together. Sitting in different tables limit conversation. Better to have scattered food to the office and just hanging out together at the office.</p>,2026-07-06 12:44:21.036Z,1,False,False,[],0,[],,kppusrz7tvrdl1u,,18ln9fuzhusm5jx,Inactive,1,1,Scatter food at the office,5,2026-07-23 16:45:30.378Z
5wh4mpsd8yz0n8g,bc56f126724fbb5b,0,"<p>since the theme of Christmas parties must have some molten cheese, and we have done by land and sea, the next logical step is by air!</p><p></p><p><a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://share.google/RaOA8oDxe0jP9DJyj"">https://share.google/RaOA8oDxe0jP9DJyj</a></p><p></p><p>fondue after riding the cable car!</p>",2026-07-06 12:46:38.929Z,1,False,False,[],0,[],,kppusrz7tvrdl1u,,5wh4mpsd8yz0n8g,Inactive,1,1,Fondue (after) Cable Car,2,2026-07-23 16:45:30.379Z
gx253xbn4mcfyzu,4c86ed884e17d0af,1,<p>What we like the most is just mingling together. Sitting in different tables limit conversation. Better to have scattered food to the office and just hanging out together at the office. It could be also at some other location of ETH we don't know but we can use.</p>,2026-07-06 12:46:40.778Z,0,False,False,[],0,"[""18ln9fuzhusm5jx""]",,kppusrz7tvrdl1u,Typo,18ln9fuzhusm5jx,Inactive,0,0,Cater food at the office/ETH,4,2026-07-23 16:45:30.379Z
xwnr10w9hva55qy,8e4a80df3812470f,0,"<p>Increase taxes for cars, especially for expensive cars and SUVs</p>",2026-07-06 12:47:34.483Z,2,True,True,[],0,[],,fipe1arpisjzor5,,xwnr10w9hva55qy,FinalWinner,2,2,More taxes for cars,4,2026-08-09 13:22:02.411Z
cnla3q3vkdwsvs8,4c86ed884e17d0af,0,<p>Using the SBB's Churchill. But we need more people.</p>,2026-07-06 12:47:37.483Z,0,False,False,[],0,[],,kppusrz7tvrdl1u,,cnla3q3vkdwsvs8,Inactive,0,0,SBB red arrow,2,2026-07-23 16:45:30.379Z
wd2kaskq51zmpto,5e73badbe38abb33,0,"<p>Everyone has to bring a set of slides on one of their research projects, someone else has to present it. It's fun, social and <em>very </em>professional. </p>",2026-07-06 12:48:17.836Z,0,False,False,[],0,[],,0kueh5y5qyvwbsw,,wd2kaskq51zmpto,Inactive,0,0,Slides Karaoke,3,2026-07-23 16:45:30.380Z
9831fmu4i76891c,4c86ed884e17d0af,1,"<p>since the theme of Christmas parties must have some molten cheese, and we have done by land and sea, the next logical step is by air!</p><p></p><p><a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://share.google/RaOA8oDxe0jP9DJyj"">https://share.google/RaOA8oDxe0jP9DJyj</a></p><p></p><p>fondue after riding the cable car!</p><p></p><p>Or even in a gondola:</p><p><a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://pilatus.ch/en/activities/fondue-gondolas"">https://pilatus.ch/en/activities/fondue-gondolas</a></p>",2026-07-06 12:51:25.423Z,1,True,True,[],0,"[""5wh4mpsd8yz0n8g""]",,kppusrz7tvrdl1u,More integrative idea,5wh4mpsd8yz0n8g,FinalWinner,1,1,Fondue (after) Cable Car,2,2026-08-09 13:22:02.362Z
t1afdsktvoxdnfb,5e73badbe38abb33,0,<p>It's right around the corner and they offer delicious Tavolatas. (altenloewen.ch)</p>,2026-07-06 12:52:51.578Z,1,True,True,[],0,[],,kppusrz7tvrdl1u,,t1afdsktvoxdnfb,FinalWinner,1,1,Zum Alten Löwen,4,2026-08-09 13:22:02.360Z
uce5yuhwjhn9osm,bc56f126724fbb5b,0,<p>ban all cars in the city. no cars no congestion! </p>,2026-07-06 12:53:20.592Z,4,True,True,[],0,[],,fipe1arpisjzor5,,uce5yuhwjhn9osm,FinalWinner,4,4,Just ban all cars in the city center,3,2026-08-09 13:22:02.411Z
