id,created,ended_at,phase_name,previous_phase,question,source_record_id,started_at,transition_metadata_json,transition_type,updated
tv692yxjlcycttp,2026-07-05 21:11:03.026Z,,Proposed,,0kueh5y5qyvwbsw,0kueh5y5qyvwbsw,2026-07-05 21:11:03.024Z,"{""author"": ""xutr6nr3440j17q"", ""title"": ""2026 Retreat Activities""}",question_created,2026-07-05 21:11:03.026Z
2nh8xm19wualopd,2026-07-05 21:11:03.078Z,2026-07-13 12:40:47.538Z,AnswerSearch,,0kueh5y5qyvwbsw,,2026-07-05 21:11:02.941Z,,,2026-07-13 12:40:47.539Z
96lptisihg6sb48,2026-07-05 21:11:03.213Z,,Proposed,,kppusrz7tvrdl1u,kppusrz7tvrdl1u,2026-07-05 21:11:03.211Z,"{""author"": ""xutr6nr3440j17q"", ""title"": ""Christmas Dinner 2026""}",question_created,2026-07-05 21:11:03.213Z
43vcughm57u3ii2,2026-07-05 21:11:03.258Z,2026-07-13 12:40:36.530Z,AnswerSearch,,kppusrz7tvrdl1u,,2026-07-05 21:11:02.941Z,,,2026-07-13 12:40:36.531Z
lk723a4zcmxtmee,2026-07-05 21:11:03.407Z,,Proposed,,fipe1arpisjzor5,fipe1arpisjzor5,2026-07-05 21:11:03.405Z,"{""author"": ""xutr6nr3440j17q"", ""title"": ""[TRY TO BREAK THIS] Decrease Car Use in Z\u00fcrich""}",question_created,2026-07-05 21:11:03.407Z
hzbsqjh2rrx1v23,2026-07-05 21:11:03.451Z,2026-07-13 12:49:27.784Z,AnswerSearch,,fipe1arpisjzor5,,2026-07-05 21:11:02.941Z,,,2026-07-13 12:49:27.785Z
tdtoe890yij3950,2026-07-13 12:40:36.532Z,2026-07-14 12:45:00.043Z,Closing,43vcughm57u3ii2,kppusrz7tvrdl1u,,2026-07-13 12:40:36.530Z,"{""reason"": ""threshold_met""}",motion_threshold_met,2026-07-14 12:45:00.044Z
1qus6l9ortqn9ur,2026-07-13 12:40:47.539Z,2026-07-14 12:45:00.028Z,Closing,2nh8xm19wualopd,0kueh5y5qyvwbsw,,2026-07-13 12:40:47.538Z,"{""reason"": ""threshold_met""}",motion_threshold_met,2026-07-14 12:45:00.029Z
cuqdgojb8r1vvoy,2026-07-13 12:49:27.785Z,2026-07-14 12:50:00.017Z,Closing,hzbsqjh2rrx1v23,fipe1arpisjzor5,,2026-07-13 12:49:27.784Z,"{""reason"": ""threshold_met""}",motion_threshold_met,2026-07-14 12:50:00.018Z
cujxho9b9qmaxla,2026-07-14 12:45:00.030Z,2026-07-17 12:50:00.017Z,Voting,1qus6l9ortqn9ur,0kueh5y5qyvwbsw,,2026-07-14 12:45:00.028Z,"{""championsCount"": 4, ""reason"": ""closing_window_elapsed""}",closing_window_elapsed,2026-07-17 12:50:00.017Z
p52eotxdy21ynda,2026-07-14 12:45:00.045Z,2026-07-17 12:50:00.027Z,Voting,tdtoe890yij3950,kppusrz7tvrdl1u,,2026-07-14 12:45:00.043Z,"{""championsCount"": 5, ""reason"": ""closing_window_elapsed""}",closing_window_elapsed,2026-07-17 12:50:00.028Z
ly2jjrm0guke9yh,2026-07-14 12:50:00.018Z,2026-07-17 12:50:00.033Z,Voting,cuqdgojb8r1vvoy,fipe1arpisjzor5,,2026-07-14 12:50:00.017Z,"{""championsCount"": 4, ""reason"": ""closing_window_elapsed""}",closing_window_elapsed,2026-07-17 12:50:00.033Z
3mzijj9gmghbqi7,2026-07-17 12:50:00.019Z,,Decided,cujxho9b9qmaxla,0kueh5y5qyvwbsw,,2026-07-17 12:50:00.017Z,"{""abstentions"": 0, ""reason"": ""voting_window_elapsed"", ""totalBallots"": 5}",voting_window_elapsed,2026-07-17 12:50:00.019Z
fzhoktgpjxizsrk,2026-07-17 12:50:00.028Z,,Decided,p52eotxdy21ynda,kppusrz7tvrdl1u,,2026-07-17 12:50:00.027Z,"{""abstentions"": 0, ""reason"": ""voting_window_elapsed"", ""totalBallots"": 5}",voting_window_elapsed,2026-07-17 12:50:00.028Z
rw8bgangy6pdfx3,2026-07-17 12:50:00.034Z,,Decided,ly2jjrm0guke9yh,fipe1arpisjzor5,,2026-07-17 12:50:00.033Z,"{""abstentions"": 0, ""reason"": ""voting_window_elapsed"", ""totalBallots"": 5}",voting_window_elapsed,2026-07-17 12:50:00.034Z
