id,color,created,question,short_name,updated
qoz3dg7s8upvmj5,#c084fc,2026-08-06 20:53:13.223Z,3o2fj1znev0krvz,Nutzen von pumpipumpe.ch als Datenbank,2026-08-06 20:53:13.223Z
q04bio9fphn694j,#fbbf24,2026-08-07 09:56:02.216Z,76q0g006tjtp7gp,Solidaritätsnetzwerk,2026-08-07 09:56:02.216Z
u6haa7etn99pu49,#fb923c,2026-08-09 11:33:05.084Z,3o2fj1znev0krvz,Eigenes Tool/Excel Sheet für das WG-Netz,2026-08-09 11:33:05.084Z
tp3x2zythnef3ou,#fbbf24,2026-08-09 11:48:00.644Z,3o2fj1znev0krvz,Material-Chat,2026-08-09 11:48:00.644Z
adrzgivw8x6vlnp,#38bdf8,2026-08-09 12:07:58.254Z,3o2fj1znev0krvz,Lagerfrage,2026-08-09 12:07:58.254Z
l1f41kw2xd9n1ve,#34d399,2026-08-14 10:57:08.930Z,3o2fj1znev0krvz,ausleih.app nutzen,2026-08-14 10:57:08.930Z
1ec7as8s4fpt135,#f87171,2026-08-14 13:33:28.768Z,3o2fj1znev0krvz,Zentrallager Ja/Nein?,2026-08-14 13:33:28.768Z
bpeokzmk3ih7nan,#f472b6,2026-08-16 14:57:32.300Z,3o2fj1znev0krvz,Material AG,2026-08-16 14:57:32.300Z
8wn5n2qfjcgn3wg,#34d399,2026-08-16 15:04:34.769Z,3o2fj1znev0krvz,MatAG Erfassung Orte und Mat,2026-08-16 15:04:34.769Z
urujrsgdiovhzc4,#a78bfa,2026-08-18 18:19:08.671Z,3o2fj1znev0krvz,A structured table of items,2026-08-18 18:19:08.671Z
e78fz6b9mutnjmw,#f87171,2026-08-20 12:17:35.349Z,3o2fj1znev0krvz,Zusätzliche inputs,2026-08-20 12:17:35.349Z
