id,created,occurred_at,proposal,question,updated,user,vote
246tcyfwk4ggbgw,2026-08-06 20:53:13.233Z,2026-08-06 20:53:13.233Z,vee7zdpty5ijljm,3o2fj1znev0krvz,2026-08-06 20:53:13.233Z,6a6cecc209785885,1
r2w88s77ah5911x,2026-08-07 09:56:02.228Z,2026-08-07 09:56:02.228Z,l6ue0ntwy9qo9p6,76q0g006tjtp7gp,2026-08-13 12:57:12.733Z,407be8b01d4ce342,0
b8jt1e7rm7ewc90,2026-08-08 13:22:10.314Z,2026-08-08 13:22:10.314Z,xtsnw7ypbsms4jl,76q0g006tjtp7gp,2026-08-08 13:22:10.314Z,6a6cecc209785885,1
n5r8hczdgxmahk6,2026-08-09 11:28:33.532Z,,vee7zdpty5ijljm,3o2fj1znev0krvz,2026-08-09 11:28:33.532Z,216bb226ec191993,1
7mh3bb8ehlsij1s,2026-08-09 11:33:05.091Z,2026-08-09 11:33:05.091Z,i7chbqu0hf4kc4s,3o2fj1znev0krvz,2026-08-14 13:57:37.108Z,216bb226ec191993,0
j1wd5sbozhbez19,2026-08-09 11:48:00.651Z,2026-08-09 11:48:00.651Z,rgjhcdyr8kdvxyz,3o2fj1znev0krvz,2026-08-09 11:48:00.651Z,216bb226ec191993,1
zk3bkx01vuvlt2i,2026-08-09 12:07:58.262Z,2026-08-09 12:07:58.261Z,n8luy5w1pc5olz4,3o2fj1znev0krvz,2026-08-09 12:07:58.262Z,216bb226ec191993,1
evteww46i735ags,2026-08-09 13:20:49.362Z,2026-08-09 13:20:49.362Z,d8last7n0bdbqme,3o2fj1znev0krvz,2026-08-14 13:57:31.040Z,216bb226ec191993,0
zv9zkomvgel9bwq,2026-08-09 13:29:58.731Z,,xtsnw7ypbsms4jl,76q0g006tjtp7gp,2026-08-09 13:29:58.731Z,216bb226ec191993,1
r7oy2awrrjhx1g3,2026-08-09 15:49:58.588Z,,d8last7n0bdbqme,3o2fj1znev0krvz,2026-08-16 14:34:46.919Z,407be8b01d4ce342,0
w4x9fpuj8aru57m,2026-08-09 15:49:59.199Z,,n8luy5w1pc5olz4,3o2fj1znev0krvz,2026-08-09 15:50:02.536Z,407be8b01d4ce342,0
vn0p277acm0elja,2026-08-10 14:45:03.865Z,,rgjhcdyr8kdvxyz,3o2fj1znev0krvz,2026-08-14 15:49:54.122Z,407be8b01d4ce342,0
1ixhts4u22mayiy,2026-08-12 15:24:49.343Z,2026-08-12 15:24:49.343Z,z5ovabzo2syrqbj,76q0g006tjtp7gp,2026-08-12 15:24:49.343Z,216bb226ec191993,1
hlfz9ovhlgms2us,2026-08-12 15:26:01.637Z,2026-08-12 15:26:01.636Z,yuk7erdsr4l9gbd,76q0g006tjtp7gp,2026-08-12 15:26:01.637Z,216bb226ec191993,1
uay4ztbj56npmro,2026-08-12 15:26:33.431Z,,l6ue0ntwy9qo9p6,76q0g006tjtp7gp,2026-08-12 15:26:33.431Z,216bb226ec191993,1
vqfqsdc1ejq3nd4,2026-08-13 10:11:19.023Z,,yuk7erdsr4l9gbd,76q0g006tjtp7gp,2026-08-20 13:33:24.830Z,de13859e1d6aea12,0
2r15rk0ez1f02rm,2026-08-13 12:55:14.805Z,,yuk7erdsr4l9gbd,76q0g006tjtp7gp,2026-08-17 19:06:17.044Z,407be8b01d4ce342,0
p40jtxxbkeg6w69,2026-08-13 12:57:02.454Z,,xtsnw7ypbsms4jl,76q0g006tjtp7gp,2026-08-17 19:06:35.093Z,407be8b01d4ce342,0
wv76y3ugefl1oru,2026-08-14 09:11:32.959Z,,d8last7n0bdbqme,3o2fj1znev0krvz,2026-08-14 09:11:32.959Z,35a5f57f8816142e,1
xw999jq8z38p9o0,2026-08-14 09:17:20.958Z,2026-08-14 09:17:20.958Z,px3acjduduouqz6,3o2fj1znev0krvz,2026-08-14 09:17:20.958Z,35a5f57f8816142e,1
y4prmqr8hrapzeb,2026-08-14 09:18:16.732Z,,i7chbqu0hf4kc4s,3o2fj1znev0krvz,2026-08-14 09:18:16.732Z,35a5f57f8816142e,1
klkjn4fdlnqly44,2026-08-14 09:21:22.301Z,2026-08-14 09:21:22.300Z,wyx4lc9o5ebp473,3o2fj1znev0krvz,2026-08-14 09:21:22.301Z,35a5f57f8816142e,1
aamx3sl2dhtfc3o,2026-08-14 09:25:22.089Z,2026-08-14 09:25:22.089Z,usjpvaq5nnvjl9w,3o2fj1znev0krvz,2026-08-14 09:25:22.089Z,35a5f57f8816142e,1
h7mjha3z5jleg1r,2026-08-14 09:37:40.878Z,2026-08-14 09:37:40.878Z,8mnhz0jpnllu7jd,76q0g006tjtp7gp,2026-08-14 09:37:46.955Z,35a5f57f8816142e,1
uwdkf2ggh7ui33g,2026-08-14 10:44:09.936Z,2026-08-14 10:44:09.936Z,m5vq0q540kenhen,3o2fj1znev0krvz,2026-08-14 10:44:09.936Z,ee5e4e5bfc419bad,1
hhpynq55xlyfxsn,2026-08-14 10:57:08.937Z,2026-08-14 10:57:08.937Z,2w5teh1hty0mznr,3o2fj1znev0krvz,2026-08-14 10:57:08.937Z,ee5e4e5bfc419bad,1
kgc978y93uzdbly,2026-08-14 11:55:13.362Z,,yuk7erdsr4l9gbd,76q0g006tjtp7gp,2026-08-14 11:55:13.362Z,762fef61cd09705e,1
svqh1dvzcqsd7z3,2026-08-14 12:15:09.545Z,2026-08-14 12:15:09.544Z,jm45hx8bajf99lv,76q0g006tjtp7gp,2026-08-14 12:15:09.545Z,762fef61cd09705e,1
973vze9va85w4mm,2026-08-14 12:26:46.303Z,2026-08-14 12:26:46.302Z,eesc7p17sxod25m,3o2fj1znev0krvz,2026-08-14 12:26:46.302Z,762fef61cd09705e,1
a3jkns8fwlcmmb4,2026-08-14 12:27:13.138Z,,px3acjduduouqz6,3o2fj1znev0krvz,2026-08-14 12:27:13.138Z,762fef61cd09705e,1
vny0ba14fkdmc44,2026-08-14 12:27:19.347Z,,d8last7n0bdbqme,3o2fj1znev0krvz,2026-08-14 12:27:19.347Z,762fef61cd09705e,1
6vdc9cv7cer0xet,2026-08-14 12:28:52.905Z,,n8luy5w1pc5olz4,3o2fj1znev0krvz,2026-08-14 12:30:32.862Z,762fef61cd09705e,0
w3a6xrhnobp5f5v,2026-08-14 12:29:25.585Z,,usjpvaq5nnvjl9w,3o2fj1znev0krvz,2026-08-14 12:29:47.580Z,762fef61cd09705e,0
3uhgznoxcq631ip,2026-08-14 12:32:04.521Z,,jm45hx8bajf99lv,76q0g006tjtp7gp,2026-08-14 12:32:04.521Z,216bb226ec191993,1
pkx1qijx3zynpmz,2026-08-14 12:51:38.922Z,,8mnhz0jpnllu7jd,76q0g006tjtp7gp,2026-08-14 12:51:38.922Z,b5234477b29af758,1
im5phn2rpjgadpg,2026-08-14 13:16:22.823Z,2026-08-14 13:16:22.823Z,m0zn817n9g4w07p,3o2fj1znev0krvz,2026-08-14 13:16:22.823Z,216bb226ec191993,1
13yn9negjdqp328,2026-08-14 13:18:23.471Z,2026-08-14 13:18:23.471Z,gjnpljxyyh1y1fv,3o2fj1znev0krvz,2026-08-14 13:18:23.471Z,216bb226ec191993,1
dvnm4lsvztt466k,2026-08-14 13:20:57.269Z,2026-08-14 13:20:57.269Z,creod2dm6xewo2s,3o2fj1znev0krvz,2026-08-14 13:20:57.269Z,216bb226ec191993,1
xarzr99kqx97ytp,2026-08-14 13:33:28.776Z,2026-08-14 13:33:28.776Z,626n317m1w4j7lo,3o2fj1znev0krvz,2026-08-14 13:33:28.776Z,216bb226ec191993,1
iko6fs3l137tkmw,2026-08-14 13:57:43.228Z,,2w5teh1hty0mznr,3o2fj1znev0krvz,2026-08-14 13:57:43.228Z,216bb226ec191993,1
dqc23e2virmmjkp,2026-08-14 15:49:15.323Z,,usjpvaq5nnvjl9w,3o2fj1znev0krvz,2026-08-17 09:25:34.671Z,407be8b01d4ce342,0
j9scv7qn0g1cvnd,2026-08-14 15:49:52.442Z,,px3acjduduouqz6,3o2fj1znev0krvz,2026-08-17 09:25:45.408Z,407be8b01d4ce342,0
qg7ic82ntjt1nii,2026-08-14 15:50:39.800Z,,eesc7p17sxod25m,3o2fj1znev0krvz,2026-08-14 15:50:39.800Z,407be8b01d4ce342,1
ee04kexnyb10aqj,2026-08-16 14:42:52.112Z,,wyx4lc9o5ebp473,3o2fj1znev0krvz,2026-08-18 16:00:23.327Z,407be8b01d4ce342,0
jlh8ph0672uokaj,2026-08-16 14:50:47.970Z,2026-08-16 14:50:47.970Z,cu6kgkeod5v8oxj,3o2fj1znev0krvz,2026-08-16 14:50:47.970Z,407be8b01d4ce342,1
ug52lpkxb3codj5,2026-08-16 14:57:32.306Z,2026-08-16 14:57:32.306Z,2k4q9z9tfrakikx,3o2fj1znev0krvz,2026-08-16 14:57:32.306Z,407be8b01d4ce342,1
x9dza6c9blypj0q,2026-08-16 15:04:34.775Z,2026-08-16 15:04:34.775Z,y9eb6fxeu3zpepy,3o2fj1znev0krvz,2026-08-18 15:41:03.177Z,407be8b01d4ce342,1
y59xbkhkrphxzxk,2026-08-17 14:56:01.018Z,2026-08-17 14:56:01.018Z,vixofkl1sb29k6z,76q0g006tjtp7gp,2026-08-17 14:56:01.018Z,216bb226ec191993,1
c1wp60igsmpb5vo,2026-08-17 19:05:48.871Z,,vixofkl1sb29k6z,76q0g006tjtp7gp,2026-08-17 19:05:48.871Z,407be8b01d4ce342,1
ghppuxgtv68v7ai,2026-08-18 15:40:26.890Z,,y9eb6fxeu3zpepy,3o2fj1znev0krvz,2026-08-18 15:40:27.663Z,de13859e1d6aea12,0
bg5acu5m1g453xi,2026-08-18 18:19:08.680Z,2026-08-18 18:19:08.680Z,nra27jcg8g8vvq8,3o2fj1znev0krvz,2026-08-18 18:19:08.680Z,a656e6eac2dca9c8,1
nxdgzg2cdctyuc9,2026-08-18 18:20:47.122Z,,gjnpljxyyh1y1fv,3o2fj1znev0krvz,2026-08-18 18:20:47.122Z,a656e6eac2dca9c8,1
w0pglme28uhpibi,2026-08-18 20:20:28.871Z,,nra27jcg8g8vvq8,3o2fj1znev0krvz,2026-08-20 11:03:42.869Z,407be8b01d4ce342,0
u7ww6a84tpcn4s5,2026-08-19 21:18:37.317Z,,y9eb6fxeu3zpepy,3o2fj1znev0krvz,2026-08-19 21:18:37.317Z,cc3304ea9b75a00f,1
zy9yvusjk11910w,2026-08-19 21:24:49.839Z,,nra27jcg8g8vvq8,3o2fj1znev0krvz,2026-08-19 21:24:49.839Z,cc3304ea9b75a00f,1
