id,created,event_type,payload_json,reference_id,status,updated,user
u9csqi6ztqajipp,2026-08-08 13:22:10.317Z,proposal_remixed,"{""title"": ""Deine Idee wurde geremixt \ud83d\udca1"", ""body"": ""\""Solidarit\u00e4tsnetzwerk\"" wurde aus deiner Idee erstellt."", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/xtsnw7ypbsms4jl""}}",l6ue0ntwy9qo9p6_xtsnw7ypbsms4jl,actioned,2026-08-08 16:13:13.200Z,407be8b01d4ce342
ufc2tw6g074qhsn,2026-08-09 13:20:49.371Z,proposal_remixed,"{""title"": ""Deine Idee wurde geremixt \ud83d\udca1"", ""body"": ""\""Nutzen von pumpipumpe.ch als Datenbank was wo vorhanden ist\"" wurde aus deiner Idee erstellt."", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/d8last7n0bdbqme""}}",vee7zdpty5ijljm_d8last7n0bdbqme,pending,2026-08-09 13:20:49.371Z,6a6cecc209785885
pknnkyzanejj784,2026-08-09 13:20:49.453Z,vote_migration,"{""title"": ""Neuer Remix verf\u00fcgbar \ud83c\udf3f"", ""body"": ""Eine neue Version von \""Nutzen von pumpipumpe.ch als Datenbank was wo vorhanden ist\"" ist verf\u00fcgbar. Vergleiche die \u00c4nderungen."", ""data"": {""url"": ""/questions/3o2fj1znev0krvz/proposals/d8last7n0bdbqme?action=compare""}}",vee7zdpty5ijljm_d8last7n0bdbqme,actioned,2026-08-09 21:59:17.719Z,407be8b01d4ce342
2w0g4h528ejv2xq,2026-08-12 15:24:49.347Z,proposal_remixed,"{""title"": ""Deine Idee wurde geremixt \ud83d\udca1"", ""body"": ""\""Solidarit\u00e4tsnetzwerk\"" wurde aus deiner Idee erstellt."", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/z5ovabzo2syrqbj""}}",xtsnw7ypbsms4jl_z5ovabzo2syrqbj,pending,2026-08-12 15:24:49.347Z,6a6cecc209785885
zhlzid4r2y16m77,2026-08-12 15:26:01.638Z,proposal_remixed,"{""title"": ""Deine Idee wurde geremixt \ud83d\udca1"", ""body"": ""\""Solidarit\u00e4tsnetzwerk\"" wurde aus deiner Idee erstellt."", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/yuk7erdsr4l9gbd""}}",xtsnw7ypbsms4jl_yuk7erdsr4l9gbd,pending,2026-08-12 15:26:01.638Z,6a6cecc209785885
g9hdhkjdt0e5yt1,2026-08-13 13:25:00.006Z,phase_halfway,"{""title"": ""Diskussion zur H\u00e4lfte \u23f3"", ""body"": ""\u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" ist zur H\u00e4lfte der Diskussionsphase. Teile deine Ideen, bevor die Zeit abl\u00e4uft!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_AnswerSearch_phase_halfway,actioned,2026-08-13 21:53:39.646Z,de13859e1d6aea12
y0zj5y1vyqvpzqd,2026-08-13 13:25:00.009Z,phase_halfway,"{""title"": ""Diskussion zur H\u00e4lfte \u23f3"", ""body"": ""\u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" ist zur H\u00e4lfte der Diskussionsphase. Teile deine Ideen, bevor die Zeit abl\u00e4uft!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_AnswerSearch_phase_halfway,pending,2026-08-13 13:25:00.009Z,2c2aed88e0c41752
917h6vmngwqd0u1,2026-08-13 13:25:00.010Z,phase_halfway,"{""title"": ""Diskussion zur H\u00e4lfte \u23f3"", ""body"": ""\u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" ist zur H\u00e4lfte der Diskussionsphase. Teile deine Ideen, bevor die Zeit abl\u00e4uft!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_AnswerSearch_phase_halfway,actioned,2026-08-13 15:01:41.621Z,407be8b01d4ce342
0zcjnx6vih25ka2,2026-08-13 13:25:00.012Z,phase_halfway,"{""title"": ""Diskussion zur H\u00e4lfte \u23f3"", ""body"": ""\u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" ist zur H\u00e4lfte der Diskussionsphase. Teile deine Ideen, bevor die Zeit abl\u00e4uft!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_AnswerSearch_phase_halfway,pending,2026-08-13 13:25:00.012Z,6a6cecc209785885
w5q9spsl4meflr2,2026-08-13 13:25:00.014Z,phase_halfway,"{""title"": ""Diskussion zur H\u00e4lfte \u23f3"", ""body"": ""\u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" ist zur H\u00e4lfte der Diskussionsphase. Teile deine Ideen, bevor die Zeit abl\u00e4uft!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_AnswerSearch_phase_halfway,actioned,2026-08-14 10:31:57.763Z,216bb226ec191993
l3ostfvwjllqi92,2026-08-13 13:25:00.015Z,phase_halfway,"{""title"": ""Discussion halfway through \u23f3"", ""body"": ""\""Wie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" is halfway through the discussion phase. Share your ideas before time runs out!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_AnswerSearch_phase_halfway,actioned,2026-08-16 10:10:12.446Z,3e36e627a64bac27
