id,created,ended_at,phase_name,previous_phase,question,source_record_id,started_at,transition_metadata_json,transition_type,updated
w3hcmwzfwxkipb4,2026-08-06 13:21:57.635Z,,Proposed,,76q0g006tjtp7gp,76q0g006tjtp7gp,2026-08-06 13:21:57.630Z,"{""author"": ""xutr6nr3440j17q"", ""title"": ""Wie definieren wir das WG-Netz und ihre Rolle in Winterthur?""}",question_created,2026-08-06 13:21:57.635Z
4fhzzd8533gi1n6,2026-08-06 13:21:57.717Z,2026-08-20 13:21:57.646Z,AnswerSearch,,76q0g006tjtp7gp,,2026-08-06 13:21:57.646Z,,setup_json,2026-08-06 13:21:57.717Z
5wmph4xecafu0m7,2026-08-06 13:21:57.946Z,,Proposed,,3o2fj1znev0krvz,3o2fj1znev0krvz,2026-08-06 13:21:57.943Z,"{""author"": ""xutr6nr3440j17q"", ""title"": ""Wie k\u00f6nnen wir Material, R\u00e4ume und Ressourcen \u00fcber WGs hinweg effizient teilen und lagern?""}",question_created,2026-08-06 13:21:57.946Z
o31nyizbw3cloit,2026-08-06 13:21:58.026Z,2026-08-20 13:21:57.958Z,AnswerSearch,,3o2fj1znev0krvz,,2026-08-06 13:21:57.958Z,,setup_json,2026-08-06 13:21:58.026Z
2fte6k857qkma09,2026-08-20 13:22:00.004Z,2026-08-22 13:22:00.014Z,Closing,4fhzzd8533gi1n6,76q0g006tjtp7gp,,2026-08-20 13:22:00.003Z,"{""reason"": ""answer_search_elapsed""}",answer_search_elapsed,2026-08-22 13:22:00.015Z
7r2midehqvu1nx6,2026-08-20 13:22:00.351Z,2026-08-22 13:23:00.029Z,Closing,o31nyizbw3cloit,3o2fj1znev0krvz,,2026-08-20 13:22:00.351Z,"{""reason"": ""answer_search_elapsed""}",answer_search_elapsed,2026-08-22 13:23:00.029Z
z38typxkmzlat0j,2026-08-22 13:22:00.015Z,2026-08-25 13:23:00.011Z,Voting,2fte6k857qkma09,76q0g006tjtp7gp,,2026-08-22 13:22:00.014Z,"{""championsCount"": 1, ""reason"": ""closing_window_elapsed""}",closing_window_elapsed,2026-08-25 13:23:00.012Z
w7n6gtswdz8lpuq,2026-08-22 13:23:00.030Z,2026-08-25 13:24:00.008Z,Voting,7r2midehqvu1nx6,3o2fj1znev0krvz,,2026-08-22 13:23:00.029Z,"{""championsCount"": 6, ""reason"": ""closing_window_elapsed""}",closing_window_elapsed,2026-08-25 13:24:00.009Z
jo6rtdjfrlwdo8x,2026-08-25 13:23:00.013Z,,Decided,z38typxkmzlat0j,76q0g006tjtp7gp,,2026-08-25 13:23:00.011Z,"{""abstentions"": 0, ""reason"": ""voting_window_elapsed"", ""totalBallots"": 3}",voting_window_elapsed,2026-08-25 13:23:00.013Z
jhnjlkkquqy3r8i,2026-08-25 13:24:00.010Z,,Decided,w7n6gtswdz8lpuq,3o2fj1znev0krvz,,2026-08-25 13:24:00.008Z,"{""abstentions"": 0, ""reason"": ""voting_window_elapsed"", ""totalBallots"": 3}",voting_window_elapsed,2026-08-25 13:24:00.010Z
