id,consent_1,consent_2,consent_3,consent_4,consent_final,consent_screen,consent_stop,consented_at,created,method,results_email,results_opt_in,updated,user
8cbxyv1q3bjoq3z,True,True,True,True,True,False,False,2026-08-06 20:41:39.260Z,2026-08-06 20:41:39.262Z,A,,False,2026-08-06 20:41:39.262Z,6a6cecc209785885
sfc4q4fiuieh17g,True,True,True,True,True,False,False,2026-08-09 11:08:10.574Z,2026-08-09 11:08:10.576Z,A,,False,2026-08-09 11:08:10.576Z,216bb226ec191993
v4zqvvytajcx9wn,True,True,True,True,True,False,False,2026-08-10 09:23:24.010Z,2026-08-10 09:23:24.012Z,A,,False,2026-08-10 09:23:24.012Z,6a4af8b5c50c45a9
s7m09pk3wpq7vl4,True,True,True,True,True,False,False,2026-08-14 09:04:41.976Z,2026-08-14 09:04:41.978Z,A,,False,2026-08-14 09:04:41.978Z,35a5f57f8816142e
l1hgn0sdmp951co,True,True,True,True,True,False,False,2026-08-14 10:26:41.832Z,2026-08-14 10:26:41.834Z,A,,False,2026-08-14 10:26:41.834Z,ee5e4e5bfc419bad
66w9leq1eyhqqr9,True,True,True,True,True,False,False,2026-08-14 11:47:06.456Z,2026-08-14 11:47:06.459Z,A,,False,2026-08-14 11:47:06.459Z,762fef61cd09705e
5hjt1bs0znxn7we,True,True,True,True,True,False,False,2026-08-14 11:50:07.009Z,2026-08-14 11:50:07.011Z,A,,False,2026-08-14 11:50:07.011Z,b5234477b29af758
nepcj5eewf0ovej,True,True,True,True,True,False,False,2026-08-16 11:30:26.390Z,2026-08-16 11:30:26.391Z,A,,False,2026-08-16 11:30:26.391Z,9b6849405eda0dbd
0k630zy6x105bfo,True,True,True,True,True,False,False,2026-08-17 07:33:28.278Z,2026-08-17 07:33:28.279Z,A,,False,2026-08-17 07:33:28.279Z,7c575f07d0147059
x5y7hlgh1iu7y0n,True,True,True,True,True,False,False,2026-08-18 13:37:05.250Z,2026-08-18 13:37:05.252Z,A,,False,2026-08-18 13:37:05.252Z,4ae21a849ee008e7
ng0uul0fl0rmgb8,True,True,True,True,True,False,False,2026-08-18 18:14:19.759Z,2026-08-18 18:14:19.761Z,A,,False,2026-08-18 18:14:19.761Z,a656e6eac2dca9c8
j3dznandn1djzqs,True,True,True,True,True,False,False,2026-08-19 12:28:43.145Z,2026-08-19 12:28:43.147Z,A,,False,2026-08-19 12:28:43.147Z,b209c2355deb9852
