id,action_type,created,metadata_json,occurred_at,question,run,target_id,updated,user
k66l3qo7033lj6q,page_view,2026-07-24 13:22:03.591Z,"{""from"": ""/de/register"", ""to"": ""/how-it-works""}",2026-07-24 13:22:03.509Z,,,,2026-07-24 13:22:03.591Z,2347e60c2ede6045
nnatqmwxdn2sxtj,page_view,2026-07-24 13:22:32.873Z,"{""from"": ""/how-it-works"", ""to"": ""/discourse""}",2026-07-24 13:22:32.794Z,,,,2026-07-24 13:22:32.873Z,2347e60c2ede6045
yugm8jkua08z1a7,feed_filter_change,2026-07-24 13:22:42.829Z,"{""feedTab"": ""foryou"", ""selectedLabelId"": null, ""sortMode"": ""Newest""}",2026-07-24 13:22:42.749Z,,,,2026-07-24 13:22:42.829Z,2347e60c2ede6045
cdtoudlv732ikuy,compare_open,2026-07-24 13:22:51.429Z,"{""source_ids"": [""2pdbjop9rr5xgyi""]}",2026-07-24 13:22:51.346Z,,,4cmn1bjg5xzhw5c,2026-07-24 13:22:51.429Z,2347e60c2ede6045
4xrcqklncshzvwt,session_start,2026-07-24 13:23:04.381Z,"{""isMobile"": true, ""screenHeight"": 543, ""screenWidth"": 375, ""userAgent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1 Brave""}",2026-07-24 13:23:04.285Z,,,,2026-07-24 13:23:04.381Z,2347e60c2ede6045
lmg7yv01gu429xj,tab_switch,2026-07-24 13:23:29.565Z,"{""state"": ""visible""}",2026-07-24 13:23:29.387Z,,,,2026-07-24 13:23:29.565Z,2347e60c2ede6045
csdgymg1nkxlv37,tab_switch,2026-07-24 13:24:38.242Z,"{""state"": ""visible""}",2026-07-24 13:24:37.954Z,,,,2026-07-24 13:24:38.242Z,2347e60c2ede6045
824bpjia1ktvhjh,tab_switch,2026-07-24 13:24:50.332Z,"{""state"": ""visible""}",2026-07-24 13:24:49.801Z,,,,2026-07-24 13:24:50.332Z,2347e60c2ede6045
310m4c8cxwci2c2,tab_switch,2026-07-24 13:25:33.001Z,"{""state"": ""visible""}",2026-07-24 13:25:32.774Z,,,,2026-07-24 13:25:33.001Z,2347e60c2ede6045
3cltjozfgnila81,tab_switch,2026-07-24 13:25:45.983Z,"{""state"": ""visible""}",2026-07-24 13:25:45.698Z,,,,2026-07-24 13:25:45.983Z,2347e60c2ede6045
k3028s6kr3k494m,session_start,2026-07-24 13:25:49.811Z,"{""isMobile"": true, ""screenHeight"": 543, ""screenWidth"": 375, ""userAgent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1 Brave""}",2026-07-24 13:25:49.716Z,,,,2026-07-24 13:25:49.811Z,2347e60c2ede6045
bawn7l28llm3smw,tab_switch,2026-07-24 13:27:41.123Z,"{""state"": ""visible""}",2026-07-24 13:27:40.698Z,,,,2026-07-24 13:27:41.123Z,2347e60c2ede6045
538g812hp482b8x,tab_switch,2026-07-24 14:38:25.247Z,"{""state"": ""visible""}",2026-07-24 14:38:24.863Z,,,,2026-07-24 14:38:25.247Z,2347e60c2ede6045
qr4l1c3q3ojinxf,tab_switch,2026-07-24 14:42:03.345Z,"{""state"": ""visible""}",2026-07-24 14:42:03.152Z,,,,2026-07-24 14:42:03.345Z,2347e60c2ede6045
pnd1xkqlbagokkr,tab_switch,2026-07-24 15:26:10.285Z,"{""state"": ""visible""}",2026-07-24 15:26:10.074Z,,,,2026-07-24 15:26:10.285Z,2347e60c2ede6045
9hn8s7c40mucjp9,tab_switch,2026-07-24 15:26:39.634Z,"{""state"": ""visible""}",2026-07-24 15:26:39.420Z,,,,2026-07-24 15:26:39.634Z,2347e60c2ede6045
xwoyws50ulgomy6,tab_switch,2026-07-24 15:26:45.647Z,"{""state"": ""visible""}",2026-07-24 15:26:45.606Z,,,,2026-07-24 15:26:45.647Z,2347e60c2ede6045
yk307s075gy2bhh,tab_switch,2026-07-24 16:43:38.764Z,"{""state"": ""visible""}",2026-07-24 16:43:38.374Z,,,,2026-07-24 16:43:38.764Z,2347e60c2ede6045
7u2p3elnsdy5zo9,session_start,2026-07-24 20:03:55.270Z,"{""isMobile"": true, ""screenHeight"": 543, ""screenWidth"": 375, ""userAgent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1 Brave""}",2026-07-24 20:03:46.625Z,,,,2026-07-24 20:03:55.270Z,2347e60c2ede6045
fm8c0nqwgvq7gk2,session_start,2026-07-26 08:37:10.851Z,"{""isMobile"": true, ""screenHeight"": 543, ""screenWidth"": 375, ""userAgent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1 Brave""}",2026-07-26 08:37:10.638Z,,,,2026-07-26 08:37:10.851Z,2347e60c2ede6045
qoekeyn8nazc4fy,page_view,2026-07-27 17:09:00.439Z,"{""from"": ""/admin"", ""to"": ""/admin/questions/0w3z1e5u1y1d83t""}",2026-07-27 17:09:00.386Z,0w3z1e5u1y1d83t,,,2026-07-27 17:09:00.439Z,de13859e1d6aea12
mawkysi92v88g3v,page_view,2026-07-27 17:09:02.220Z,"{""from"": ""/admin/questions/0w3z1e5u1y1d83t"", ""to"": ""/admin""}",2026-07-27 17:09:02.201Z,0w3z1e5u1y1d83t,,,2026-07-27 17:09:02.220Z,de13859e1d6aea12
izzp7jrqp8n662g,page_view,2026-07-27 17:09:04.891Z,"{""from"": ""/admin"", ""to"": ""/groups/v0e99klwn3wg6qe""}",2026-07-27 17:09:04.828Z,0w3z1e5u1y1d83t,,,2026-07-27 17:09:04.891Z,de13859e1d6aea12
go4nqcqwuhynd5s,page_view,2026-07-27 17:10:26.304Z,"{""from"": ""/discourse"", ""to"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}",2026-07-27 17:10:26.283Z,0w3z1e5u1y1d83t,,,2026-07-27 17:10:26.304Z,de13859e1d6aea12
kxpceniep2mjbtf,page_view,2026-07-27 17:10:29.592Z,"{""from"": ""/questions/0w3z1e5u1y1d83t/proposals/question"", ""to"": ""/discourse""}",2026-07-27 17:10:29.573Z,0w3z1e5u1y1d83t,,,2026-07-27 17:10:29.592Z,de13859e1d6aea12
3v20d7y47vvlrsy,page_view,2026-07-27 17:10:32.084Z,"{""from"": ""/discourse"", ""to"": ""/discourse""}",2026-07-27 17:10:32.035Z,0w3z1e5u1y1d83t,,,2026-07-27 17:10:32.084Z,de13859e1d6aea12
gzhhwlzlhsc12sa,page_view,2026-07-27 17:10:34.550Z,"{""from"": ""/discourse"", ""to"": ""/admin""}",2026-07-27 17:10:34.485Z,0w3z1e5u1y1d83t,,,2026-07-27 17:10:34.550Z,de13859e1d6aea12
48xfp42ron3dccf,page_view,2026-07-27 17:10:37.053Z,"{""from"": ""/admin"", ""to"": ""/groups/v0e99klwn3wg6qe""}",2026-07-27 17:10:36.994Z,0w3z1e5u1y1d83t,,,2026-07-27 17:10:37.053Z,de13859e1d6aea12
4sukpzovpre71q1,page_view,2026-07-27 18:52:58.862Z,"{""from"": ""/discourse"", ""to"": ""/questions/0w3z1e5u1y1d83t/proposals/question""}",2026-07-27 18:52:58.816Z,0w3z1e5u1y1d83t,,,2026-07-27 18:52:58.862Z,de13859e1d6aea12
67jnfj093tn4ydg,page_view,2026-07-27 18:53:01.876Z,"{""from"": ""/questions/0w3z1e5u1y1d83t/proposals/question"", ""to"": ""/questions/0w3z1e5u1y1d83t/proposals/ideas""}",2026-07-27 18:53:01.824Z,0w3z1e5u1y1d83t,,,2026-07-27 18:53:01.876Z,de13859e1d6aea12
