id,author,branch_depth,content,created,current_vote_count,in_focus,is_champion,labels,opposition_count,parent_proposals,primary_label,question,reason_for_change,root_proposal,state,subscription_count,support_count,title,unique_viewer_count,updated
4ye5dsqpshy40jr,407be8b01d4ce342,0,<p>Wir führen <strong>eine</strong> grosse kollektive Liste von Produkten.<br>Alles was von einem Mitglied der WG auf dieser Liste gekauft wird kann zurückgefordert werden. <br>Die aufgewendeten Kosten werden Monatlich gesammelt und gleichmässig an alle Bewohnende aufgeteilt. </p><p></p><p></p>,2026-07-28 11:16:38.634Z,0,False,True,"[""izuxxogfqsiimy0""]",0,[],izuxxogfqsiimy0,0w3z1e5u1y1d83t,,,Inactive,1,0,Eine kollektive Liste - Preis gleichverteilt,5,2026-08-05 17:09:00.007Z
ppkkg16jlpylazv,3e36e627a64bac27,0,<p>Fast könnte über die WG-Kasse abgerechnet werden. Verbrauchsmaterial und Konsumgüter. Ausser extrem Luxuriöse Produkte wie guten Wein oder private Genussartikel (nach eigenem ermessen). Irgendwie gleicht sich das schon aus.</p>,2026-07-28 11:33:57.159Z,0,True,True,"[""ahabnqhexrqxbrf""]",0,[],ahabnqhexrqxbrf,0w3z1e5u1y1d83t,,,FinalWinner,2,0,Essen Für alle,8,2026-09-01 15:19:29.070Z
kfb0ib2gefppy6l,407be8b01d4ce342,0,"<p>Jede Person zahlt für den eigenen Gebrauch. Eigene Lagerfächer pro Person werden eingerichtet (in Kühlschrank, Lagerraum sowie Öffentlichen gestellen)</p>",2026-07-30 08:55:26.608Z,0,False,True,"[""gnw5jw3s6fadtju""]",0,[],gnw5jw3s6fadtju,0w3z1e5u1y1d83t,,,Inactive,0,0,Alles individuell bezahlen,7,2026-08-05 17:09:00.016Z
g8f2osl4qpr7ixl,15e064539716cfbb,0,"<p>Wir erweitern die schon existierende Liste mit Lebensmitteln. Dafür müssten wir zusammen anschauen, was reinkommt. </p><p>Der kleinste gemeinsame Nenner 'vegan' ist der Orientierungspunkt.</p><p></p><p></p><p></p>",2026-07-31 08:05:09.888Z,0,False,True,"[""evih29e8mwnalc9""]",0,[],evih29e8mwnalc9,0w3z1e5u1y1d83t,,,Inactive,0,0,Liste mit Lebensmittel erweitern,5,2026-08-05 17:09:00.017Z
l5sqzdyfozw6267,15e064539716cfbb,0,"<p>Wir erweitern die schon existierende Liste mit Lebensmitteln. Dafür müssten wir zusammen anschauen, was auch noch dazu kommen könnte.</p><p>Der kleinste gemeinsame Nenner ist vegan.</p><p>Z.B. tierische Produkte können nach Bedürfnis in einem separaten Grüppchen organisiert werden. Über Flatrate kann man ja anwählen, wer alles beteiligt ist.</p><p></p><p></p>",2026-07-31 08:26:21.210Z,0,True,True,"[""3kkk4jj93zcg6xw""]",0,[],3kkk4jj93zcg6xw,0w3z1e5u1y1d83t,,,FinalWinner,4,0,Liste erweitern,10,2026-09-01 15:13:13.144Z
tbzg254knicrhqz,34063db6dedf42bc,0,"<p>Es gibt die erweiterte Liste und Untergrüppchen für alles mögliche, z. B. Milchprodukte, Fleisch, aber auch Druckerzeugs. </p><p></p><p>Kann man im Flattastic Untergruppen machen? Dann könnte man da eintragen, wenn man etwas gekauft hat und dann auch abrechnen. Oder sonst halt Gruppen auf Splitwise oder so. Das ist zwar umständlich, macht aber sichtbar, wer tatsächlich wie viel Geld ausgegeben hat. </p><p></p><p>Oder wir machen ein Kässeli für jedes Grüppchen, wo alle gleich viel einzahlen. Wer dann einkauft, kann dieses Geld dafür brauchen.</p><p></p><p>Bleibt das Problem der Nutzung. Wer weniger einkauft, ist ja vielleicht auch weniger zuhause und konsumiert gar nicht mit. Dann wäre es auch nicht fair, wenn man in diesen Grüppchen dann immer mitzahlen müsste. </p>",2026-08-01 08:35:16.525Z,0,False,False,"[""r75b39f3q45tu4n""]",0,[],r75b39f3q45tu4n,0w3z1e5u1y1d83t,,,Inactive,2,0,Untergrüppchen,5,2026-08-05 17:09:00.028Z
rcjsk2waeqw14pm,34063db6dedf42bc,0,"<p>Es gibt Untergrüppchen für alles mögliche, z. B. Milchprodukte, Fleisch, aber auch Druckerzeugs. </p><p></p><p>Kann man im Flattastic Untergruppen machen? Dann könnte man da eintragen, wenn man etwas gekauft hat und dann auch abrechnen. Oder sonst halt Gruppen auf Splitwise oder so. Das ist zwar umständlich, macht aber sichtbar, wer tatsächlich wie viel Geld ausgegeben hat. </p><p></p><p>Oder wir machen ein Kässeli für jedes Grüppchen, wo alle gleich viel einzahlen. Wer dann einkauft, kann dieses Geld dafür brauchen.</p><p></p><p>Bleibt das Problem der Nutzung. Wer weniger einkauft, ist ja vielleicht auch weniger zuhause und konsumiert gar nicht mit. Dann wäre es auch nicht fair, wenn man in diesen Grüppchen dann immer mitzahlen müsste. </p>",2026-08-01 08:36:10.891Z,0,False,False,"[""r75b39f3q45tu4n""]",0,[],r75b39f3q45tu4n,0w3z1e5u1y1d83t,,,Inactive,2,0,Untergrüppchen,6,2026-08-05 17:09:00.028Z
ag1c4yqxa4oe2w4,34063db6dedf42bc,0,"<p>Es gibt Untergrüppchen für alles mögliche, z. B. Milchprodukte, Fleisch, aber auch Druckerzeugs. </p><p></p><p>Kann man im Flattastic Untergruppen machen? Dann könnte man da eintragen, wenn man etwas gekauft hat und dann auch abrechnen. Oder sonst halt Gruppen auf Splitwise oder so. Das ist zwar umständlich, macht aber sichtbar, wer tatsächlich wie viel Geld ausgegeben hat. </p><p></p><p>Oder wir machen ein Kässeli für jedes Grüppchen, wo alle gleich viel einzahlen. Wer dann einkauft, kann dieses Geld dafür brauchen.</p><p></p><p>Bleibt das Problem der Nutzung. Wer weniger einkauft, ist ja vielleicht auch weniger zuhause und konsumiert gar nicht mit. Dann wäre es auch nicht fair, wenn man in diesen Grüppchen dann immer mitzahlen müsste. </p>",2026-08-01 08:39:58.047Z,0,False,False,"[""r75b39f3q45tu4n""]",0,[],r75b39f3q45tu4n,0w3z1e5u1y1d83t,,,Inactive,1,0,Untergrüppchen,7,2026-08-05 17:09:00.029Z
5ts5a0oatsjtetw,b003312e6c38c8a5,1,<p>Fast könnte über die WG-Kasse abgerechnet werden. Verbrauchsmaterial und Konsumgüter.  </p><p>Irgendwie gleicht sich das schon aus.</p><p>Wir machen eine liste mit ausnahmen von der gemeinsamen abrechnung nicht eine wo alles drauf ist was wir gemeinsam abrechnen</p>,2026-08-03 10:28:56.782Z,0,False,True,"[""ahabnqhexrqxbrf"", ""r75b39f3q45tu4n"", ""z66f041vbyh0984""]",0,"[""ppkkg16jlpylazv"", ""ag1c4yqxa4oe2w4""]",z66f041vbyh0984,0w3z1e5u1y1d83t,Ideen kombinieren...,ppkkg16jlpylazv,Inactive,2,0,Essen Für alle,8,2026-09-01 15:16:14.310Z
f2zfx98durbtu6y,b003312e6c38c8a5,1,"<p>Wir erweitern die schon existierende Liste mit Lebensmitteln. Dafür müssten wir zusammen anschauen, was auch noch dazu kommen könnte.</p><p>Keine unterscheidung vegan/nicht vegan</p><p>Dann könnte zb pflanzen und tiermilch darüber gekauft werden.</p><p></p><p>Evt neuen kleinster gemeinsamer nenner diskutieren. Zb prozessierungsgrad der lebensmittel? Wenn es ein lebensmittel ist von dem andere auch was haben?</p><p></p>",2026-08-03 10:36:59.476Z,0,False,False,"[""3kkk4jj93zcg6xw""]",0,"[""l5sqzdyfozw6267""]",3kkk4jj93zcg6xw,0w3z1e5u1y1d83t,Neue Richtung der alten idee,l5sqzdyfozw6267,Inactive,3,0,Liste erweitern,6,2026-08-05 17:09:00.030Z
