id,consent_1,consent_2,consent_3,consent_4,consent_final,consent_screen,consent_stop,consented_at,created,method,results_email,results_opt_in,updated,user
3mn13sl3of1kgyy,True,True,True,True,True,False,False,2026-07-24 13:22:03.417Z,2026-07-24 13:22:03.420Z,A,,False,2026-07-24 13:22:03.420Z,2347e60c2ede6045
mnceft7yi63qxg2,True,True,True,True,True,False,False,2026-07-27 18:55:14.376Z,2026-07-27 18:55:14.378Z,A,,False,2026-07-27 18:55:14.378Z,15e064539716cfbb
us6or3ai983sbsb,True,True,True,True,True,False,False,2026-07-27 19:59:21.145Z,2026-07-27 19:59:21.147Z,A,,False,2026-07-27 19:59:21.147Z,3e36e627a64bac27
2x6bz050hkax3c7,True,True,True,True,True,False,False,2026-07-27 20:09:27.497Z,2026-07-27 20:09:27.499Z,A,,False,2026-07-27 20:09:27.499Z,3928dc02b346700b
fa3m06rnnv1ugsn,True,True,True,True,True,False,False,2026-07-28 10:09:34.810Z,2026-07-28 10:09:34.812Z,A,,False,2026-07-28 10:09:34.812Z,407be8b01d4ce342
n4kmfs0dyhjy9yp,True,True,True,True,True,False,False,2026-07-28 11:24:42.505Z,2026-07-28 11:24:42.508Z,A,,False,2026-07-28 11:24:42.508Z,34063db6dedf42bc
i8l30d2ya0n8bhd,True,True,True,True,True,False,False,2026-07-28 13:00:11.540Z,2026-07-28 13:00:11.543Z,A,,False,2026-07-28 13:00:11.543Z,b003312e6c38c8a5
oi2k3fi1zb5gfl6,True,True,True,True,True,False,False,2026-08-02 09:45:55.499Z,2026-08-02 09:45:55.501Z,A,,False,2026-08-02 09:45:55.501Z,563eab35510dcae3
uygeudfp2f86ufd,True,True,True,True,True,False,False,2026-08-03 12:14:19.083Z,2026-08-03 12:14:19.085Z,A,,False,2026-08-03 12:14:19.085Z,cc3304ea9b75a00f
5dfbqvr3zpylfke,True,True,True,True,True,False,False,2026-08-03 13:34:03.344Z,2026-08-03 13:34:03.348Z,A,,False,2026-08-03 13:34:03.348Z,adc82731fb3dc1de
8sfu7poimmc30gl,True,True,True,True,True,False,False,2026-08-08 10:10:31.837Z,2026-08-08 10:10:31.839Z,A,,False,2026-08-08 10:10:31.839Z,155f1aa31205a1db
3cfub6boher1xk2,True,True,True,True,True,False,False,2026-09-01 12:57:43.666Z,2026-09-01 12:57:43.669Z,A,,False,2026-09-01 12:57:43.669Z,a2ba6414638e53bd
