run_id,study_id,config_id,seed,quality_model,agent_count,steps,converged,convergence_reason,vote_count,retract_count,unique_voters,active_agents,total_actions,mean_actions_per_agent,tab_foryou_pct,tab_notification_pct,tab_ballot_pct,root_count,remix_count,merge_count,proposal_count,total_subscriptions,subscription_gini,top_proposal_share,hhi,cluster_count,label_entropy,ballot_size,ballot_label_diversity,champion_count,final_root_count,final_remix_count,final_merge_count,unique_authors,elapsed_days,selection_efficiency,top_1_mean_quality,top_1_selection_efficiency,suboptimality_gap_top1,top_3_mean_quality,top_3_selection_efficiency,top_7_mean_quality,top_7_selection_efficiency,top_k_mean_quality,top_k_selection_efficiency,dag_mean_depth,dag_max_depth,siphon_migration_count,siphon_notification_evaluations,late_entrant_in_top5
attention_baseline_null_model_n100_s137,attention_baseline,null_model_n100,137,attention,100,31,False,target_duration_reached_30d,586,0,100,100,1093,10.93,21.5,40.4,38.1,12,153,59,224,821,0.4156,0.0341,0.0102,22,3.9517,7,7,22,12,153,59,93,30.1,0.3606,2.3126,0.7405,0.8102,1.4474,0.4635,1.126,0.3606,1.126,0.3606,1.88,7,286,585,0
attention_baseline_null_model_n100_s42,attention_baseline,null_model_n100,42,attention,100,52,False,target_duration_reached_30d,899,0,100,100,1720,17.2,21.2,44.2,34.6,12,209,83,304,1220,0.4184,0.0262,0.0068,22,3.956,6,6,22,12,209,83,93,30.8,0.2132,1.7453,0.4051,2.563,1.1046,0.2564,0.9293,0.2157,0.9293,0.2157,2.73,17,520,1058,0
attention_baseline_null_model_n100_s99,attention_baseline,null_model_n100,99,attention,100,41,False,target_duration_reached_31d,712,0,100,100,1387,13.87,22.9,43.8,33.3,13,186,51,250,968,0.4263,0.0341,0.0088,20,3.5955,4,4,20,13,186,51,89,31.7,0.1724,1.045,0.2476,3.176,0.6836,0.162,0.8828,0.2091,0.8828,0.2091,2.36,12,428,847,0
attention_baseline_null_model_n10_s137,attention_baseline,null_model_n10,137,attention,10,33,False,target_duration_reached_30d,52,0,10,10,96,9.6,20.6,32.4,47.1,4,17,3,24,64,0.3451,0.1094,0.0596,7,2.4329,4,4,7,4,17,3,10,30.1,0.3453,1.0943,0.3838,1.7572,1.1454,0.4017,1.2274,0.4304,1.2274,0.4304,1.46,3,23,44,0
attention_baseline_null_model_n10_s42,attention_baseline,null_model_n10,42,attention,10,44,False,target_duration_reached_31d,67,0,10,10,132,13.2,30.2,41.3,28.5,4,13,9,26,79,0.3744,0.0886,0.0559,10,3.0532,1,1,10,4,13,9,9,31.4,0.9156,1.6336,0.8937,0.1943,1.5113,0.8268,1.2396,0.6781,1.2396,0.6781,2.12,5,42,74,3
attention_baseline_null_model_n10_s99,attention_baseline,null_model_n10,99,attention,10,33,False,target_duration_reached_31d,50,0,10,10,93,9.3,29.0,35.9,35.1,4,17,3,24,54,0.3611,0.1111,0.0604,7,1.9473,2,2,7,4,17,3,10,31.7,0.1862,0.8577,0.2118,3.1922,0.5856,0.1446,0.994,0.2454,0.994,0.2454,1.96,5,22,47,3
attention_baseline_null_model_n200_s137,attention_baseline,null_model_n200,137,attention,200,33,False,target_duration_reached_30d,1243,0,200,200,2341,11.71,22.3,42.3,35.5,13,317,106,436,1717,0.4299,0.0309,0.007,21,3.934,7,7,21,13,317,106,176,30.7,0.1685,0.0473,0.0137,3.3945,0.2866,0.0833,0.5799,0.1685,0.5799,0.1685,2.54,14,665,1313,0
attention_baseline_null_model_n200_s42,attention_baseline,null_model_n200,42,attention,200,26,False,target_duration_reached_30d,1024,0,200,200,1885,9.43,22.6,42.1,35.3,15,238,82,334,1395,0.4482,0.0344,0.0091,22,4.0286,7,7,22,15,238,81,164,30.5,0.1282,0.4901,0.1947,2.0271,0.4083,0.1622,0.3226,0.1282,0.3226,0.1282,1.91,7,529,1048,0
attention_baseline_null_model_n200_s99,attention_baseline,null_model_n200,99,attention,200,47,False,target_duration_reached_33d,1676,0,200,200,3185,15.93,20.6,44.4,34.9,14,416,113,543,2275,0.4207,0.0251,0.0053,21,3.9419,7,7,21,14,416,113,189,33.6,0.1589,0.6681,0.2,2.6724,0.7248,0.217,0.5309,0.1589,0.5309,0.1589,1.99,10,969,1929,0
attention_baseline_null_model_n25_s137,attention_baseline,null_model_n25,137,attention,25,36,False,target_duration_reached_30d,151,0,25,25,294,11.76,15.7,43.4,40.9,7,36,15,58,209,0.3733,0.0622,0.0273,15,3.2212,3,3,15,7,36,15,21,30.5,0.3823,1.3619,0.5285,1.2151,0.9852,0.3823,0.9543,0.3703,0.9543,0.3703,1.57,6,88,191,1
